id,address,total_spaces,geo_shape,lat,lon
178,Reig Genovés - Ramón Contreras Mongrell,20,"{""coordinates"": [-0.3705063522665271, 39.49221639017785], ""type"": ""Point""}",39.49221639017785,-0.3705063522665271
42,Av. de la Plata (Museo Fallero),20,"{""coordinates"": [-0.3586583378805894, 39.45878127329601], ""type"": ""Point""}",39.45878127329601,-0.3586583378805894
206,Periodista Gil Sumbiela - Poeta Serrano Clavero,15,"{""coordinates"": [-0.38900741524280136, 39.49271239990425], ""type"": ""Point""}",39.49271239990425,-0.38900741524280136
18,Colón 20-22,24,"{""coordinates"": [-0.37312937987373457, 39.468191311513856], ""type"": ""Point""}",39.468191311513856,-0.37312937987373457
203,Reina Violante - Escultor García Mas,15,"{""coordinates"": [-0.40118246297404103, 39.48460937883364], ""type"": ""Point""}",39.48460937883364,-0.40118246297404103
205,Nicasio Benlloch - Amics dels Corpus,24,"{""coordinates"": [-0.3930904323547156, 39.48928739053543], ""type"": ""Point""}",39.48928739053543,-0.3930904323547156
207,"Giorgeta, 64",15,"{""coordinates"": [-0.381905420300487, 39.45539327294658], ""type"": ""Point""}",39.45539327294658,-0.381905420300487
209,Gaspar Aguilar - Músico Penella,18,"{""coordinates"": [-0.39301546105732643, 39.45208226727133], ""type"": ""Point""}",39.45208226727133,-0.39301546105732643
9,Plaza de Tetuán,25,"{""coordinates"": [-0.3699303648826442, 39.47435533016869], ""type"": ""Point""}",39.47435533016869,-0.3699303648826442
233,San Juan Bosco - Santiago Rusiñol,15,"{""coordinates"": [-0.36943734517384297, 39.497160406039164], ""type"": ""Point""}",39.497160406039164,-0.36943734517384297
68,Av. Puerto - José Aguilar,20,"{""coordinates"": [-0.3417332778594022, 39.46280327868023], ""type"": ""Point""}",39.46280327868023,-0.3417332778594022
72,Ramiro de Maeztu - Peris Brell,15,"{""coordinates"": [-0.34644628196214244, 39.467257201162404], ""type"": ""Point""}",39.467257201162404,-0.34644628196214244
84,"Serrería, 67",15,"{""coordinates"": [-0.33522597686590844, 39.467123092394516], ""type"": ""Point""}",39.467123092394516,-0.33522597686590844
92,Blasco Ibañez - Aragón,20,"{""coordinates"": [-0.35596831583559707, 39.47586032883543], ""type"": ""Point""}",39.47586032883543,-0.35596831583559707
85,Blasco Ibañez - Jaime Roig,23,"{""coordinates"": [-0.3647153422684407, 39.479464345022826], ""type"": ""Point""}",39.479464345022826,-0.3647153422684407
95,Naranjos (Magisterio),33,"{""coordinates"": [-0.34611927939668474, 39.47983533734356], ""type"": ""Point""}",39.47983533734356,-0.34611927939668474
97,Blasco Ibañez 121,23,"{""coordinates"": [-0.3431322739648798, 39.47306831276613], ""type"": ""Point""}",39.47306831276613,-0.3431322739648798
99,Blasco Ibañez 166 - Pintor José Mongrell,21,"{""coordinates"": [-0.3404842660990001, 39.47134430635022], ""type"": ""Point""}",39.47134430635022,-0.3404842660990001
114,UPV Informática,30,"{""coordinates"": [-0.346591279156021, 39.4818043438759], ""type"": ""Point""}",39.4818043438759,-0.346591279156021
120,Doctor Vicente Zaragozá - Emilio Baró,18,"{""coordinates"": [-0.36204632906281087, 39.484880361257815], ""type"": ""Point""}",39.484880361257815,-0.36204632906281087
117,Gascó Oliag - Primado Reig,30,"{""coordinates"": [-0.357065317141581, 39.47925133992885], ""type"": ""Point""}",39.47925133992885,-0.357065317141581
121,Murta - Sant Eperit,15,"{""coordinates"": [-0.35877131748144303, 39.48618236435413], ""type"": ""Point""}",39.48618236435413,-0.35877131748144303
133,Alfambra - Poeta Monmeneu,15,"{""coordinates"": [-0.37588237827023757, 39.48275636079257], ""type"": ""Point""}",39.48275636079257,-0.37588237827023757
122,Músico Hipólito Martínez - Diógenes López Mecho,15,"{""coordinates"": [-0.3540663028794564, 39.48448535604776], ""type"": ""Point""}",39.48448535604776,-0.3540663028794564
134,Maximiliano Thous - Luz Casanova,20,"{""coordinates"": [-0.37333936513208965, 39.48765637635625], ""type"": ""Point""}",39.48765637635625,-0.37333936513208965
